ME ID	Canonical form
DCM00377	iemand zal boven iets staan
DCM00378	iemand zal boven Jan zijn
DCM00379	iemand zal boven water zijn
DCM00380	iemand zal boven zijn theewater zijn
DCM00382	iemand zal bovenkamers te huur hebben
DCM00383	boze Griet
DCM00384	iemand zal braak liggen
DCM00387	iemand zal branden als een lier
DCM00390	brave Hendrik
DCM00392	brood en spelen
DCM00393	broodje aap
DCM00396	iemand zal broodmager zijn
DCM00397	iemand zal bruggebijten
DCM00398	iemand zal bruggen bouwen
DCM00399	iemand zal bruggen slaan
DCM00400	bruin zal iets 0niet kunnen trekken
DCM00401	brutaal als de beul
DCM00402	brutale snuiter
DCM00403	iemand zal buiten bedrijf zijn
DCM00404	iemand zal buiten bewustzijn
DCM00405	iemand zal buiten de pot pissen
DCM00406	iemand zal buiten de waard rekenen
DCM00407	iemand zal buiten iets staan
DCM00408	iemand zal buiten west zijn
DCM00409	iemand zal buiten westen raken
DCM00410	iemand zal buiten westen zijn
DCM00411	iemand zal buiten zichzelf zijn
DCM00412	iemand zal buiten zijn boekje gaan
DCM00413	iemand zal buiten zinnen zijn
DCM00415	iemand zal buitenspel staan
DCM00416	iemand zal bulken van het geld
DCM00418	buurmans leed zal troosten
DCM00419	iemand zal capriolen maken
DCM00420	iemand zal captie maken
DCM00422	iemand zal centraal staan
DCM00424	iemand zal college lopen
DCM00425	iemand zal contact opnemen
DCM00427	<daar> zal  'm de kneep zitten
DCM00428	<daar> zal de schaar uithangen
DCM00429	<daar> zal een dominee voorbij gaan
DCM00430	<daar> zal 0geen lievemoeder aan helpen
DCM00431	<daar> zal 0geen lievemoederen aan helpen
DCM00432	<daar> zal 0geen woord Frans bij zijn
DCM00433	daar gehakt wordt zullen spaanders vallen
DCM00434	daar gekapt wordt zullen spaanders vallen
DCM00435	daar zal je het gegooi in de glazen hebben
DCM00436	<daar> zal iets van S Anneke onder lopen
DCM00437	<daar> zal iets van St Anna onder lopen
DCM00438	<daar> zal 'm de knoop zitten 
DCM00440	iemand zal dagwerk hebben
DCM00444	dappere dodo
DCM00445	dat dank je de koekoek
DCM00446	dat zal de deur dicht doen
DCM00447	dat zal de deur toe doen
DCM00448	dat haal je de koekoek
DCM00449	dat het een aard zal hebben
DCM00450	<dat> mag Joost weten
DCM00451	dat mocht je de koekoek
DCM00452	dat valt op een gansje
DCM00453	dat  treft op een gansje
DCM00454	iemand zal 0dat M:varken M:wassen
DCM00455	iets zal iemand een worst zijn
DCM00456	dat zit nog
DCM00457	de  reine zal alles rein zijn
DCM00458	de aanhouder zal winnen
DCM00459	iemand zal de aap beet hebben
DCM00460	iemand zal de aap binnen hebben
DCM00461	iemand zal de aap in de mouw hebben
DCM00462	iemand zal de aap in de mouw houden
DCM00463	de Alpha en de Omega
DCM00464	de angst zal iemand om het hart slaan
DCM00465	de appel zal niet ver van de boom vallen
DCM00466	de appel zal niet ver van de stam vallen
DCM00467	de appelman zal  om zijn geld komen
DCM00468	iemand zal de baan opgaan
DCM00469	de baan zal schoon zijn
DCM00470	iemand zal de baan warm houden
DCM00471	de baard zal iemand nog in de keel zitten
DCM00472	iemand zal de bal misslaan
DCM00473	de ballen
DCM00474	de beer zal  los zijn
DCM00475	iemand zal de beest spelen
DCM00476	iemand zal de beest uithangen
DCM00477	de berg zal een muis gebaard hebben
DCM00478	iemand zal de beroerdste niet zijn
DCM00479	de beste stuurlui zullen aan wal staan
DCM00480	iemand zal de beurs snijden
DCM00481	iemand zal de bezem door iets halen
DCM00482	iemand zal de bietenbrug op gaan
DCM00483	iemand zal de bink steken
DCM00484	iemand zal de bink uithangen
DCM00485	iemand zal de bloemetjes buiten zetten
DCM00486	iemand zal de bloemetjes buitenzetten
DCM00487	iemand zal de bodem  in geslagen zijn
DCM00488	iemand zal de boeken neerleggen
DCM00489	iemand zal de boel opscheppen
DCM00490	iemand zal de boel van eieren maken
DCM00491	iemand zal de boer opgaan
DCM00492	iemand zal de bokkepruik ophebben
DCM00493	de bolworm zal hem steken
DCM00494	de bom zal gebarsten zijn
DCM00495	de bom zal gesprongen zijn
DCM00496	iemand zal de bons hebben
DCM00497	iemand zal de bons krijgen
DCM00498	de boog zal 0niet altijd gespannen kunnen zijn
DCM00499	iemand zal de boot gemist hebben
DCM00500	iemand zal de boot in gaan
DCM00501	iemand zal de boter uit iets braden
DCM00502	iemand zal de bovenhand krijgen
DCM00503	iemand zal de bovenhand  nemen
DCM00504	iemand zal de bovenhand hebben
DCM00505	iemand zal de boventoon voeren
DCM00506	de brede weg
DCM00507	iemand zal de breeveertien op gaan
DCM00508	iemand zal de breeveertien opgaan
DCM00509	iemand zal de breeveertien opvaren
DCM00510	iemand zal de broek aan hebben
DCM00511	iemand zal de broek dragen
DCM00512	iemand zal de broodkorf hoog hangen
DCM00513	de broodkruimels zullen iemand steken
DCM00514	iemand zal de brui geven van iets
DCM00515	iemand zal de brui hebben van iets
DCM00516	de bruin zal iets 0niet kunnen trekken
DCM00517	de bruine zal iets 0niet kunnen trekken
DCM00518	De brutalen zullen het derde deel van de halve wereld hebben
DCM00519	De brutalen zullen het derde deel van de wereld hebben
DCM00520	de chemie zal ontbreken
DCM00521	de dader zal op 't kerkhof liggen
DCM00522	de dader zal  op 't kerkhof zijn
DCM00523	iemand zal dd:[de] *dans  ontspringen
DCM00524	de derde man zal de spraak aanbrengen
DCM00525	de derde man zal de spraak anbrengen
DCM00526	de derde zal streng de kabel houden
DCM00527	de derde zal  streng de kabel maken
DCM00528	iemand zal de deur platlopen
DCM00529	iemand zal de deur voor iets openzetten
DCM00530	iemand zal de deuren voor iets openzetten
DCM00531	de dode hand
DCM00532	iets zal de dood in de pot zijn
DCM00533	de dood of de gladiolen
DCM00534	iemand zal de doorslag geven
DCM00535	iemand zal de draad kwijt zijn
DCM00536	iemand zal de draad weer oppakken
DCM00537	iemand zal de draak met iets|iemand steken
DCM00538	de druiven zullen zuur zijn
DCM00539	iemand zal de duivel inhebben
DCM00540	iemand zal de dupe zijn
DCM00541	de een zijn dood zal de ander zijn brood zijn
DCM00542	iemand zal de eerste viool spelen
DCM00543	iemand zal de einden aan elkaar knopen
DCM00544	iemand zal de einden aan elkander knopen
DCM00545	iemand zal de eindjes aan elkaar knopen
DCM00546	iemand zal de eindjes aan elkander knopen
DCM00547	de ene dienst zal de andere waard zijn
DCM00548	iemand zal de gebeten hond zijn
DCM00549	de gebraden duiven zullen  iemand in de mond vliegen
DCM00550	iemand zal de gebraden haan spelen
DCM00551	iemand zal de gebraden haan uithangen
DCM00552	de geest zal gewillig zijn maar het vlees zal  zwak zijn
DCM00553	iemand zal de gek  met iemand | iets steken
DCM00554	iemand zal de gek hebben met iemand | iets
DCM00555	iemand zal de gek houden met iemand | iets
DCM00556	iemand zal de gek met iemand | iets scheren
DCM00557	de gekken zullen de kaart krijgen
DCM00558	iemand zal de gelegenheid bij de haren grijpen
DCM00559	iemand zal de gelegenheid bij de haren pakken
DCM00560	de gelegenheid zal de dief maken
DCM00561	de gierigheid zal de wijsheid bedriegen
DCM00562	iemand zal de Gordiaanse knoop doorhakken
DCM00563	de groene zijde
DCM00564	iemand zal de grote trom roeren
DCM00565	de haan zal driemaal kraaien
DCM00566	iemand zal de hand in de boezem steken
DCM00567	iemand zal de hand in eigen boezem steken
DCM00568	iemand zal de hand met iets lichten 
DCM00569	iemand zal de hand op iets leggen
DCM00570	iemand zal de hand over het hart strijken
DCM00571	iemand zal de handdoek in de ring gooien
DCM00572	iemand zal de handen uit de mouw steken
DCM00573	iemand zal de handen uit de mouwen steken
DCM00574	iemand zal de handen vol hebben
DCM00575	de haren zullen iemand te berge rijzen
DCM00576	de haren zullen  iemand te berge staan
DCM00577	de Heer zal die Hij liefheeft kastijden
DCM00578	de heilige hermandad
DCM00579	de hekken zullen verhangen zijn
DCM00580	iemand zal de hele dag in touw zijn
DCM00581	iemand zal de hele rit uitzitten
DCM00582	de heler zal zo goed als de steler zijn
DCM00583	iemand zal de hielen lichten
DCM00584	iemand zal de hielen likken
DCM00585	iets zal de hoeksteen van iets zijn
DCM00586	iemand zal de hoogte hebben
DCM00587	iemand zal de hoogte van iets | iemand hebben
DCM00588	iemand zal de hoogte van iets | iemand krijgen
DCM00589	iemand zal de horens opsteken
DCM00590	iemand zal de hort op gaan
DCM00591	de huid van de beer zal men 0niet moeten verkopen voordat hij gevangen is
DCM00592	iemand zal de huik naar de wind hangen
DCM00593	iemand zal de indruk wekken
DCM00594	de jongste dag
DCM00595	de jongste schepen zal het vonnis vellen
DCM00596	de jongste schepen zal het vonnis wijzen
DCM00597	iemand zal de kaart kennen
DCM00598	iemand zal de kaas snijden
DCM00599	iemand zal de kantjes eraf lopen
DCM00600	iemand zal de kap op de tuin hangen
DCM00601	iemand zal de kastanjes uit het vuur halen
DCM00602	iemand zal de kat bij het spek zetten
DCM00603	iemand zal de kat de bel aanbinden
DCM00604	iemand zal de kat in de kelder metselen
DCM00605	iemand zal de kat in het donker knijpen
DCM00606	de kat zal om der wille van het smeer   de kandeleer likken
DCM00607	iemand zal de kat op het spek binden
DCM00608	iemand zal de kat uit de boom kijken
DCM00609	iemand zal de kat uit de boom zien
DCM00610	iemand zal de kerk in het midden houden
DCM00611	iemand zal de kerk in het midden laten
DCM00612	iemand zal de kerk in het midden van het dorp houden
DCM00613	iemand zal de kerk in het midden van het dorp laten
DCM00614	iemand zal de kinderschoenen ontwassen zijn
DCM00615	iemand zal de kip met de gouden eieren slachten
DCM00616	de klap op de vuurpijl
DCM00617	iemand zal de klere krijgen
DCM00618	de kleren zullen de man maken
DCM00619	iemand zal de klok hebben horen luiden maar niet weten waar de klepel hangt
DCM00620	de klop zal er op staan
DCM00621	de klop zal er op zijn
DCM00622	iemand zal de kluivers in huis krijgen
DCM00623	iemand zal de klus kwijt raken
DCM00624	iemand zal de klus kwijt zijn
